STATE_FIPS,STATE_CODE,STATE,COUNTY_FIPS,COUNTY
1,AL,Alabama,1,Autauga 
1,AL,Alabama,3,Baldwin 
1,AL,Alabama,5,Barbour 
1,AL,Alabama,7,Bibb 
1,AL,Alabama,9,Blount 
1,AL,Alabama,11,Bullock 
1,AL,Alabama,13,Butler 
1,AL,Alabama,15,Calhoun 
1,AL,Alabama,17,Chambers 
1,AL,Alabama,19,Cherokee 
1,AL,Alabama,21,Chilton 
1,AL,Alabama,23,Choctaw 
1,AL,Alabama,25,Clarke 
1,AL,Alabama,27,Clay 
1,AL,Alabama,29,Cleburne 
1,AL,Alabama,31,Coffee 
1,AL,Alabama,33,Colbert 
1,AL,Alabama,35,Conecuh 
1,AL,Alabama,37,Coosa 
1,AL,Alabama,39,Covington 
1,AL,Alabama,41,Crenshaw 
1,AL,Alabama,43,Cullman 
1,AL,Alabama,45,Dale 
1,AL,Alabama,47,Dallas 
1,AL,Alabama,49,DeKalb 
1,AL,Alabama,51,Elmore 
1,AL,Alabama,53,Escambia 
1,AL,Alabama,55,Etowah 
1,AL,Alabama,57,Fayette 
1,AL,Alabama,59,Franklin 
1,AL,Alabama,61,Geneva 
1,AL,Alabama,63,Greene 
1,AL,Alabama,65,Hale 
1,AL,Alabama,67,Henry 
1,AL,Alabama,69,Houston 
1,AL,Alabama,71,Jackson 
1,AL,Alabama,73,Jefferson 
1,AL,Alabama,75,Lamar 
1,AL,Alabama,77,Lauderdale 
1,AL,Alabama,79,Lawrence 
1,AL,Alabama,81,Lee 
1,AL,Alabama,83,Limestone 
1,AL,Alabama,85,Lowndes 
1,AL,Alabama,87,Macon 
1,AL,Alabama,89,Madison 
1,AL,Alabama,91,Marengo 
1,AL,Alabama,93,Marion 
1,AL,Alabama,95,Marshall 
1,AL,Alabama,97,Mobile 
1,AL,Alabama,99,Monroe 
1,AL,Alabama,101,Montgomery 
1,AL,Alabama,103,Morgan 
1,AL,Alabama,105,Perry 
1,AL,Alabama,107,Pickens 
1,AL,Alabama,109,Pike 
1,AL,Alabama,111,Randolph 
1,AL,Alabama,113,Russell 
1,AL,Alabama,115,St. Clair 
1,AL,Alabama,117,Shelby 
1,AL,Alabama,119,Sumter 
1,AL,Alabama,121,Talladega 
1,AL,Alabama,123,Tallapoosa 
1,AL,Alabama,125,Tuscaloosa 
1,AL,Alabama,127,Walker 
1,AL,Alabama,129,Washington 
1,AL,Alabama,131,Wilcox 
1,AL,Alabama,133,Winston 
2,AK,#N/A,13,#VALUE!
2,AK,#N/A,16,#VALUE!
2,AK,#N/A,20,#VALUE!
2,AK,#N/A,50,#VALUE!
2,AK,#N/A,60,#VALUE!
2,AK,#N/A,68,#VALUE!
2,AK,#N/A,70,#VALUE!
2,AK,#N/A,90,#VALUE!
2,AK,#N/A,100,#VALUE!
2,AK,#N/A,105,#VALUE!
2,AK,#N/A,110,#VALUE!
2,AK,#N/A,122,#VALUE!
2,AK,#N/A,130,#VALUE!
2,AK,#N/A,150,#VALUE!
2,AK,#N/A,164,#VALUE!
2,AK,#N/A,170,#VALUE!
2,AK,#N/A,180,#VALUE!
2,AK,#N/A,185,#VALUE!
2,AK,#N/A,188,#VALUE!
2,AK,#N/A,195,#VALUE!
2,AK,#N/A,198,#VALUE!
2,AK,#N/A,220,#VALUE!
