FIPS,POPULATION,POP_DENSITY,PCT_URBAN,MEDIAN_INCOME,cluster,State,County
0500000US01001,58239,91.8,0.59,31338,0,ALABAMA,AUTAUGA
0500000US01003,227131,114.6,0.672,35140,7,ALABAMA,BALDWIN
0500000US01005,25259,31,0.351,20704,9,ALABAMA,BARBOUR
0500000US01007,22412,36.8,0,22535,9,ALABAMA,BIBB
0500000US01009,58884,88.9,0.093,23818,0,ALABAMA,BLOUNT
0500000US01011,10386,17.5,0,16055,9,ALABAMA,BULLOCK
0500000US01013,19181,27,0.295,25511,9,ALABAMA,BUTLER
0500000US01015,116425,195.7,0.645,27968,13,ALABAMA,CALHOUN
0500000US01017,34834,57.4,0.488,25646,0,ALABAMA,CHAMBERS
0500000US01019,24975,46.9,0,25471,9,ALABAMA,CHEROKEE
0500000US01021,44857,63,0.149,27986,0,ALABAMA,CHILTON
0500000US01023,12792,15.2,0,21239,9,ALABAMA,CHOCTAW
0500000US01025,23346,20.9,0,21915,9,ALABAMA,CLARKE
0500000US01027,14184,23.1,0,18947,9,ALABAMA,CLAY
0500000US01029,15046,26.7,0,21331,9,ALABAMA,CLEBURNE
0500000US01031,53043,73.6,0.511,37445,0,ALABAMA,COFFEE
0500000US01033,56789,91.8,0.594,28726,0,ALABAMA,COLBERT
0500000US01035,11778,15.6,0,28821,9,ALABAMA,CONECUH
0500000US01037,10442,17.7,0,30392,9,ALABAMA,COOSA
0500000US01039,37490,36.6,0.314,23573,0,ALABAMA,COVINGTON
0500000US01041,13300,22.8,0,16398,9,ALABAMA,CRENSHAW
0500000US01043,87129,109.4,0.243,26199,13,ALABAMA,CULLMAN
0500000US01045,49443,89.6,0.494,28489,0,ALABAMA,DALE
0500000US01047,39162,44.8,0.555,19542,0,ALABAMA,DALLAS
0500000US01049,71554,91.5,0.109,22421,0,ALABAMA,DEKALB
0500000US01051,87146,128.2,0.286,38455,13,ALABAMA,ELMORE
0500000US01053,36879,40.5,0.372,23997,0,ALABAMA,ESCAMBIA
0500000US01055,103468,195.2,0.59,25883,13,ALABAMA,ETOWAH
